host_ip,average_session_time
87.169.99.232,1.431839159E9
99.188.185.40,1.43186071E9
31.45.226.43,1.431889548E9
5.39.15.151,1.4319471255E9
131.114.11.55,1.4320317275E9
188.238.146.131,1.432119939E9
208.43.243.244,1.4321271305E9
180.76.5.74,1.431903959E9
203.84.135.120,1.4319471486666667E9
76.164.234.106,1.43195431E9
128.179.155.97,1.4321043326666667E9
173.192.238.44,1.432109148E9
86.185.215.203,1.432116354E9
107.170.40.205,1.43197232825E9
213.180.27.58,1.4319831E9
197.187.26.144,1.431997523E9
173.213.76.77,1.4320119225E9
109.74.154.79,1.4320587325714285E9
200.10.161.5,1.432096537E9
82.60.18.23,1.4321163315E9
41.249.219.90,1.432123539E9
209.118.149.82,1.4321343315E9
24.8.92.137,1.4320182325E9
77.248.77.178,1.4318895278333333E9
177.229.230.254,1.432037146E9
189.221.118.68,1.432112701E9
128.141.154.221,1.431990324E9
188.40.60.225,1.43201555E9
118.72.253.84,1.4320299256666667E9
176.198.189.108,1.432040744E9
157.55.34.93,1.43208752E9
195.176.110.194,1.432116358E9
188.252.129.118,1.432134352E9
90.220.199.149,1.4318445278333333E9
197.235.139.144,1.431896737E9
153.174.34.38,1.431907517E9
81.142.35.154,1.4319471345E9
212.90.148.107,1.4319543385E9
65.55.215.237,1.4319543263333333E9
54.219.40.115,1.431972316E9
121.244.49.42,1.431990336E9
70.177.214.34,1.43208752E9
200.49.190.100,1.431839138E9
197.36.142.40,1.432091128E9
8.35.201.52,1.432112739E9
207.241.237.228,1.431893795625E9
180.76.6.156,1.431893141E9
194.94.204.181,1.431867932E9
172.56.28.38,1.431889518E9
91.9.25.91,1.4319291236666667E9
94.153.9.168,1.431929127E9
204.236.162.60,1.431936348E9
183.87.253.120,1.4320155206666667E9
193.24.88.211,1.432047926142857E9
195.194.187.106,1.432131750857143E9
187.45.193.158,1.43192643475E9
217.140.110.23,1.4318715293333333E9
91.236.75.26,1.43194353E9
110.143.13.225,1.431957938E9
101.226.33.222,1.432080315E9
62.77.171.249,1.4320803264285715E9
8.35.201.53,1.4321055355E9
54.226.176.99,1.431853521E9
188.207.200.116,1.431914736E9
181.141.250.44,1.431929153E9
176.226.17.33,1.431965127142857E9
87.216.109.88,1.4320299306666667E9
204.236.226.210,1.4320335176666667E9
159.50.249.150,1.43209112625E9
36.38.8.174,1.431846329E9
173.252.80.112,1.431893149E9
207.158.15.119,1.431954301E9
180.76.6.146,1.4319615E9
124.197.25.116,1.431968705E9
193.105.0.2,1.431990319E9
74.125.40.23,1.431990348E9
122.107.211.222,1.4320191215E9
213.87.123.186,1.432040741E9
119.224.20.139,1.432116338E9
72.199.66.220,1.4321199325E9
38.99.236.50,1.4321379341818182E9
46.118.118.101,1.431867914E9
178.24.154.17,1.431875139E9
108.231.135.74,1.4318787376E9
217.69.133.234,1.43195883E9
99.179.126.76,1.431932717E9
24.147.91.100,1.4319363291666667E9
157.56.92.141,1.43194355E9
116.212.243.74,1.431943558E9
203.173.241.145,1.4319615052E9
110.174.108.127,1.432058727E9
82.193.99.33,1.4318463256666667E9
84.198.71.68,1.431860702E9
108.71.169.76,1.431911118E9
130.117.119.79,1.431925559E9
190.239.74.15,1.431947114E9
122.60.77.197,1.4319633345E9
92.163.85.51,1.4319939303333333E9
69.167.130.5,1.4320479284444444E9
200.141.109.74,1.432062346E9
74.76.53.142,1.4321163336666667E9
76.21.44.161,1.432134339E9
66.249.83.223,1.431896717E9
54.242.155.74,1.431907532E9
190.250.238.82,1.431929143E9
128.2.142.104,1.431939934E9
70.83.251.183,1.4319507301818182E9
180.76.5.62,1.431983105E9
129.121.176.228,1.43199752E9
213.52.196.70,1.4320083045E9
89.250.16.2,1.4320119258333333E9
86.19.216.99,1.432029917E9
37.188.233.114,1.4321163405E9
86.1.76.62,1.4318427196666667E9
134.76.249.10,1.43184273E9
65.19.138.34,1.4319951306666667E9
194.254.139.66,1.432022716E9
77.240.31.230,1.4320011321666667E9
200.68.86.233,1.4320659315E9
186.44.199.211,1.432101934E9
86.101.250.29,1.432127126E9
78.193.126.4,1.431882335142857E9
84.60.79.43,1.431900339E9
69.143.198.134,1.431911127E9
2.179.147.248,1.431957952E9
93.42.158.73,1.431990339E9
81.52.143.26,1.431997544E9
218.30.103.114,1.432029937E9
195.37.190.67,1.432083951E9
37.11.0.8,1.4320861448461537E9
165.145.12.44,1.4321091395E9
74.208.172.133,1.432116343E9
54.220.160.83,1.4319817006E9
74.125.40.22,1.43198673E9
89.170.74.95,1.4319309215E9
79.164.36.106,1.431896732E9
79.83.255.199,1.4319003365E9
99.158.0.150,1.4319039218333333E9
91.144.171.126,1.43197592E9
198.27.64.9,1.43205334175E9
24.111.34.227,1.432011932E9
77.175.4.43,1.4320119388333333E9
74.125.19.208,1.432047949E9
216.172.140.128,1.4321091135E9
108.174.55.234,1.4319602810434783E9
198.148.112.117,1.4319723351666667E9
195.250.62.9,1.43202635E9
62.210.189.45,1.432058746E9
180.76.6.56,1.432137956E9
207.241.237.223,1.4318885E9
207.241.237.224,1.43190213625E9
81.198.20.11,1.4319903305714285E9
220.181.108.171,1.431896705E9
180.76.6.150,1.431900343E9
177.144.77.89,1.431929154E9
23.105.131.185,1.4319363425E9
180.76.6.232,1.431939912E9
117.244.105.81,1.431950756E9
82.225.159.87,1.431983123E9
54.224.92.206,1.432037128E9
180.169.2.99,1.432069555E9
54.204.20.250,1.432119921E9
86.182.52.145,1.4318463305E9
143.233.204.28,1.4319455302222223E9
120.202.255.147,1.4319827789E9
106.66.30.77,1.431875136E9
79.191.201.108,1.4318859223333333E9
199.15.233.137,1.431889511E9
74.125.176.145,1.43201643125E9
173.55.80.151,1.431929156E9
27.252.40.146,1.431954336E9
46.165.197.141,1.4319795325E9
194.149.247.24,1.4320330175714285E9
139.184.30.132,1.4320455294444444E9
105.224.234.235,1.43204794E9
173.164.44.34,1.4321343303333333E9
207.241.237.104,1.4318787326923077E9
180.76.6.48,1.431857156E9
180.76.6.57,1.431864327E9
49.204.238.249,1.431878727142857E9
91.68.55.56,1.4318895455E9
201.216.154.220,1.431889553E9
83.252.13.79,1.4320119385E9
203.173.194.136,1.43195795E9
80.89.192.53,1.431977727E9
14.160.65.22,1.43204749546E9
190.198.191.75,1.4321091418333333E9
66.187.233.202,1.4321091288333333E9
204.236.190.162,1.432123548E9
217.69.133.70,1.4319210175E9
83.115.137.249,1.4318967305E9
212.84.56.58,1.431911117E9
68.8.191.88,1.431950727E9
67.171.28.123,1.431975945E9
110.159.23.90,1.43202992625E9
68.14.231.140,1.432112732E9
8.35.201.55,1.432112742E9
5.102.173.71,1.4318427095E9
80.57.170.121,1.4318967275E9
82.127.237.118,1.431896723E9
112.133.195.22,1.431921921E9
66.249.80.128,1.4319669165E9
